Scientific Name,Family,English Common Name,Name (FI),Section,ID,Check,Count,Mazemap route,Cordinates,Aromatic,Crop,Edible,Endangered,Exotic,Flowering,Fragrant,Fruit-bearing,Historical,House plant,Medicinal,Native,Pollinator,Resilient,Dangerous,Seasonal,Striking,Unique,Keep it y/n,Aromaattinen,Viljelykasvi,Syötävä,Uhanalainen,Eksoottinen,Kuukiva,Tuoksuva,Hedelmöivä,Historiallinen,Huonekasvi,Lääkekasvi,Alkuperäinen,Pölyttäjä,Ääriolosuhteet,Vaarallinen,Kausikasvi,Näyttävä,Uniikki,
Abrus precatorius,,Rosary pea,Rukoushelmi,#N/A,,,1,See under tags,,,,,,,,,,,,,,,,Bright red seeds resemble decorative beads but contain extremely potent toxin (deadly to humans).,,,,,,,,,,,,,,,,,,,"Värikkäät punaiset siemenet muistuttavat koristeisia palleja, mutta sisältävät äärimmäisen myrkyllistä ainesosaa (kuoleltaan ihmisille).",,,,
Acalypha hispida,,Chenille plant,punahäntä,G-HA 	TROOPPINEN HUONE,5215,G-HA 	TROOPPINEN HUONE,2,,,,,,,,"Long, pendulous red inflorescences create a continuous flowering display.",,,,Thrives in bright indoor conditions where its soft texture invites closer inspection.,,,,,,,"The unusually long, fuzzy “tails” form a dramatic cascading shape rarely seen in houseplants.",,,,,,,,"Pitkät, vaakasuorat punaiset kukinnot luovat jatkuvan kukkivan näytön.",,,,"Kasvaa hyvin kirkkaissa sisäolosuhteissa, missä pehmeä teksturi kutsumassa lähemmäksi tarkastelua.",,,,,,,"Erityisen pitkät, karvaiset ""pyrstöt"" muodostavat harvinaisen laskeutuvan muodon, jota ei usein nähdä huonekasveissa.",,
Acalypha reptans,,Dwarf chenille,pikkupunahäntä,G-HA 	TROOPPINEN HUONE,17750,G-HA 	TROOPPINEN HUONE,1,,,,,,,,Small red tassel-like flowers appear along stems.,,,,Compact and suitable for small indoor displays.,,,,,,,Fine-scale texture creates a miniature version of larger chenille plants.,,,,,,,,Pienet punaiset tasseliukkaiset kukat ilmenevät oksilla.,,,,Pieni ja sopii pienille sisäesityksille.,,,,,,,Pienoiskuvioinen tekstiuring kutsuttaa pienempää chenille-lajia.,,
Acalypha wilkesiana,,Copperleaf,kuparilehti,#N/A,,,1,,,,,,,,,,,,"Grows well indoors with stable warmth and light, rewarding consistent care with dense foliage.",,,,,,,"Leaves display intense red, bronze, and green colour combinations.",,,,,,,,,,,,"Kasvaa hyvin sisällä vakaudella lämmintä ja valoa, palkitsee säännöllistä hoitoa tiiviillä kasvillisuudella.",,,,,,,"Lehdet näyttävät intensiivisiä punaisia, pronssisia ja vihreitä värisävyjä.",,
Acanthostachys strobilacea,x,x,käpybromelia,G-HA 	TROOPPINEN HUONE,16785,G-HA 	TROOPPINEN HUONE,1,,,,,,,,Produces a pineapple-like fruiting structure.,,,,Well suited to warm indoor conditions as a niche collector plant.,,,,,,,Spiny rosette form combined with unusual reproductive structure.,,,,,,,,Tuottaa ananas-muotoisen hedelmänrakenteen.,,,,Sopii hyvin lämpimissä sisätiloissa yksilöllisen keräilijälajiksi.,,,,,,,Piikkinen rosetti-muoto yhdistettynä epätavallisen lisääntymismuodon kanssa.,,
Achimenes ‘Tarantella’,,Achimenes hybrid,akimenes,#N/A,,,1,,,,,,,,"Large, vivid flowers create a colourful display.",,,,Performs well in indoor containers during growth season.,,,,,,,"Abundant flowering gives a dense, carpet-like bloom effect.",,,,,,,,"Suuret, värikästet kukat luovat värikästä näyttävyyttä.",,,,Toimii hyvin sisätiloissa kasvattimissa kasvukaudella.,,,,,,,"Runsas kukinta antaa tiiviin, matonmuotoisen kukkien vaikutelman.",,
Achimenes longiflora,,Hot water plant,akimenes,G-HA 	TROOPPINEN HUONE,16402,G-HA 	TROOPPINEN HUONE,1,,,,,,,,Produces continuous trumpet-shaped blooms.,,,,Easy tuber plant for indoor seasonal growing.,,,,,,,Soft foliage contrasts with vivid flower colours.,,,,,,,,Tuottaa jatkuvia trumpetinmuotoisia kukkia.,,,,Helppo tuberkulaattilaji sisätiloissa kausikasvatuksessa.,,,,,,,Pehmeä kasvillisuus kontrastoi värikästien kukkien kanssa.,,
Aconitum ferox,,Indian aconite,Intianukonhattu,T-5.3 	PURONRANNAT,46184,T-5.3 	PURONRANNAT,1,See under tags,,,,,,,,,,,,,,,,Extremely potent toxin; particularly dangerous to humans on contact or ingestion.,,,,,,,,,,,,,,,,,,,Erityisen voimakas myrkky; erityisen vaarallinen ihmisille kosketuksella tai nauttimisella.,,,,
Aconitum lycoctonum,,Wolfsbane,Keltaukonhattu,?,,,1,See under tags,,,,,,,,,,,,,,,,Contains strong toxins; dangerous to humans and animals if ingested.,,,,,,,,,,,,,,,,,,,"Sisältää voimakkaan myrkyllisiä aineita; vaarallinen ihmisille ja eläimille, jos nautitaan.",,,,
Aconitum napellus subsp. Lusitanicum,,Monkshood,Ukonhattu,L-O 	LÃ„Ã„KEKASVI OSASTO,32399,L-O 	LÃ„Ã„KEKASVI OSASTO,1,See under tags,,,,,,,,,,,,,,,,Extremely toxic plant – dangerous to humans even through skin contact due to potent alkaloids.,,,,,,,,,,,,,,,,,,,Erityisen myrkyllinen kasvi – vaarallinen ihmisille myös iholle kosketuksella potentteja alkaaloja takia.,,,,
Acorus calamus,,Sweet flag,Kalmus,H-4 	MAUSTEKASVIT,129,H-4 	MAUSTEKASVIT,1,See under tags,,,,,,,,,,,,,,,,Traditionally used plant requiring knowledge – toxic compounds can affect humans if misused.,,,,,,,,,,,,,,,,,,,"Perinteisesti käytetty kasvi, joka vaatii tietämyksellisyyttä – myrkkyaineet voivat vaikuttaa ihmisiin, jos käytetään väärin.",,,,
Acrostichum aureum,,Mangrove fern,mangrovesaniainen,G-HA 	TROOPPINEN HUONE,8807,G-HA 	TROOPPINEN HUONE,1,,,,,,,,,,,,Can be grown indoors as a large architectural fern.,,,,,,,"Broad fronds create a bold, almost leathery leaf surface.",,,,,,,,,,,,Voi kasvaa sisällä suurena arkkitehtuurikasvina.,,,,,,,"Laajat lehdet luovat voimakasta, lähes nahkaista lehtipinnan.",,
Actaea rubra,,Red baneberry,Punakonnanmarja,T-6.13 	MONTAANISTA LAJISTOA,25465,T-6.13 	MONTAANISTA LAJISTOA,1,See under tags,,,,,,,,,,,,,,,,"Bright red berries appear attractive and edible but are poisonous, especially risky for children.",,,,,,,,,,,,,,,,,,,"Värikkäät punertavat marjat näyttävät houkuttelevilta ja syötäviltä, mutta ovat myrkyllisiä, erityisesti lapsille.",,,,
Actaea spicata,,Baneberry,Mustakonnanmarja,K-6-1 	KUIVA LEHTO,19229,K-6-1 	KUIVA LEHTO,1,See under tags,,,,,,,,,,,,,,,,"Glossy black berries resemble edible forest fruits, yet are toxic to humans.",,,,,,,,,,,,,,,,,,,"Kiiltävät mustat marjat muistuttavat syötäviä metsämarjoja, mutta ovat myrkyllisiä ihmisille.",,,,
Actaea spp.,,Baneberry,Konnanmarjat,#N/A,,,1,See under tags,,,,,,,,,,,,,,,,"Berries are poisonous; visually attractive, risk for humans.",,,,,,,,,,,,,,,,,,,Marjat ovat myrkyllisiä; näyttävät vaarallisilta ihmisille.,,,,
Adansonia digitata,,Baobab,baobab,G-HA 	TROOPPINEN HUONE,3596,G-HA 	TROOPPINEN HUONE,1,,,,,,,,,,,,Grown indoors as a curiosity and slow-growing specimen.,,,,,,,Massive trunk relative to size creates a striking silhouette.,,,,,,,,,,,,Kasvaa sisällä kummastavaksi ja hitaasti kasvavaksi esineeksi.,,,,,,,Suuri runko suhteessa koon luoo vaikuttelevan silhuetin.,,
Adenium obesum,,Desert rose,Aavikkoruusu,G-HF 	SUKKULENTIT,51835,G-HF 	SUKKULENTIT,1,See under tags,,,,,,,Bright flowers emerge above thick base.,,,,Compact and well suited for sunny indoor spots.,,,,,Beautiful flowering succulent; sap highly toxic to humans and pets.,,Swollen trunk gives a sculptural bonsai-like form.,,,,,,,,Värikkäät kukat ilmestyvät paksun perustuksen yläpuolelle.,,,,Kompakti ja aurinkoisille sisätiloille sopiva.,,,,,Kaunis kukkiva kasvi; sappia erittää myrkyllistä ainetta ihmisiä ja eläimiä kohtaan.,,Paksu runko antaa veistoksellisen bonsai-muodon.,,
