Plant_Name,English name,Finnish name,Section,hankitaID,taksoni_nro,Status,Notes,Check,,,,
Abelia mosanensis,,,"X-TA 	TAIMISTO",56797,11595,OSASTOLLA,,"X-TA 	TAIMISTO",,,,
Abelmoschus esculentus,,,"G-HA 	TROOPPINEN HUONE",53021,371,OSASTOLLA,,"G-HA 	TROOPPINEN HUONE",,,,
Abelmoschus esculentus,,,"G-HJ 	JATKOKASVATUS",32644,371,OSASTOLLA,,"G-HJ 	JATKOKASVATUS",,,,
Abelmoschus esculentus,,,"G-HO 	KASVIHUONE OSASTO",56281,371,OSASTOLLA,,"G-HO 	KASVIHUONE OSASTO",,,,
Abies alba,,Saksanpihta,"R-O 	ARBORETUM",16147,374,OSASTOLLA,,"R-O 	ARBORETUM",,,,
Abies alba,,Saksanpihta,"T-4.11 	SEMBRA-REUNA B",20437,374,OSASTOLLA,,"T-4.11 	SEMBRA-REUNA B",,,,
Abies amabilis,,Purppurapihta,"T-6.15 	VARAMAA",26284,375,OSASTOLLA,,"T-6.15 	VARAMAA",,,,
Abies balsamea,,Palsamipihta,"R-O 	ARBORETUM",2381,376,OSASTOLLA,,"R-O 	ARBORETUM",,,,
Abies balsamea,,Palsamipihta,"R-O 	ARBORETUM",26285,376,OSASTOLLA,,"R-O 	ARBORETUM",,,,
Abies balsamea,,Palsamipihta,"S-O 	SYSTEMAATTINEN OSASTO",37468,376,OSASTOLLA,,"S-O 	SYSTEMAATTINEN OSASTO",,,,
Abies balsamea,,Palsamipihta,"V-2 	ROMEON ETU",37468,376,OSASTOLLA,,"V-2 	ROMEON ETU",,,,
Abies concolor,,Harmaapihta,"P-O 	PUUTARHAKASVIT OSASTO",26286,377,OSASTOLLA,,"P-O 	PUUTARHAKASVIT OSASTO",,,,
Abies concolor,,Harmaapihta,"R-O 	ARBORETUM",26286,377,OSASTOLLA,,"R-O 	ARBORETUM",,,,
Abies fraseri,,Virginianpihta,"R-O 	ARBORETUM",16375,378,OSASTOLLA,,"R-O 	ARBORETUM",,,,
